Tests,Sum of 15,Ave RMSE of 15 mins,"RMSE 15 OFF, 15 OFF","RMSE 15 OFF, 15 ON","RMSE 15 ON, 15 ON","RMSE 15 ON, 15 OFF",Total Tests Used,Average RMSE
253,0,0.086346183967885,,,,,,
254,0,0.0863779822110735,0.172724166178958,,,,,
255,0,0.0862109006631742,,,,,,
256,0,0.0860446147655375,0.172255515428712,,,,,
257,0,0.0858798374737407,,,,,,
258,0,0.0857194420819804,0.171599279555721,,,,,
259,0,0.0855563668789821,,,,,,
260,0,0.0853963064212163,0.170952673300198,,,,,
261,0,0.0852488354243845,,,,,,
262,0,0.0850936730373191,0.170342508461704,,,,,
263,0,0.0849383205568853,,,,,,
264,0,0.0847857676950734,0.169724088251959,,,,,
265,0,0.0850319700846271,,,,,,
266,0,0.0855475231152854,0.170579493199913,,,,,
267,0,0.085402853331065,,,,,,
268,0,0.0852970940059501,0.170699947337015,,,,,
269,0,0.085188818933723,,,,,,
270,0,0.0850392384625961,0.170228057396319,,,,,
271,0,0.0848936326252077,,,,,,
272,0,0.084746245007575,0.169639877632783,,,,,
273,0,0.0845997865225687,,,,,,
274,0,0.0844550630899248,0.169054849612494,,,,,
275,0,0.0843105874515798,,,,,,
276,0,0.0841678033790861,0.168478390830666,,,,,
277,0,0.0840258394614851,,,,,,
278,0,0.083885147607557,0.167910987069042,,,,,
279,0,0.0837450092038927,,,,,,
280,0,0.083605676378988,0.167350685582881,,,,,
281,0,0.0834674697243707,0.167073146103359,,,,,
282,0,0.0833295300811083,,,,,,
283,0,0.0831928798062724,0.166522409887381,,,,,
284,0,0.0830574672159355,,,,,,
285,0,0.0829229896681634,0.165980456884099,,,,,
286,0,0.0827893229649636,,,,,,
287,0,0.0826571334225236,0.165446456387487,,,,,
288,0,0.0825255026113613,,,,,,
289,0,0.0823940681561916,0.164919570767553,,,,,
290,0,0.0822630997689902,,,,,,
291,0,0.0821343410308137,0.164397440799804,,,,,
292,0,0.0820050594316609,,,,,,
293,0,0.0818781011940504,0.163883160625711,,,,,
294,0,0.0817508752031212,,,,,,
295,0,0.0816243040868147,0.163375179289936,,,,,
296,0,0.0814981692496851,,,,,,
297,0,0.0813734594393943,0.162871628689079,,,,,
298,0,0.0812488340476817,,,,,,
299,0,0.0811256929411725,0.162374526988854,,,,,
300,0,0.0810023529363488,,,,,,
301,0,0.0808800608352414,0.16188241377159,,,,,
302,0,0.0807582671203828,,,,,,
303,0,0.0806371163326019,0.161395383452985,,,,,
304,0,0.0805169921646299,,,,,,
305,0,0.0803971390941876,0.160914131258817,,,,,
